,price,date,bathrooms,bedrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,yr_renovated,location
2740,728470,5/30/14,3,4,1688,1349,2,Good,Above Average,1907,2014,DC
2741,650000,9/25/14,2.5,3,1786,1800,2,Good,Above Average,1921,2006,DC
2742,655000,10/28/14,4,3,1786,1800,2,Good,Above Average,1921,2014,DC
2743,550000,10/17/14,1,3,1512,1387,2,Good,Above Average,1912,2016,DC
2744,689000,5/21/14,2,4,1930,2200,2,Average,Above Average,1922,0,DC
2745,949900,5/13/15,4.5,5,1640,2000,2,Good,Above Average,1922,2015,DC
2746,611000,6/30/14,3.5,4,1900,2578,2.5,Good,Good Quality,1921,2010,DC
2750,740000,5/23/14,2.5,6,2892,3935,2.5,Good,Good Quality,1916,2014,DC
2751,375000,3/16/15,1.5,3,1288,4877,1.5,Good,Good Quality,1920,1992,DC
2752,737500,11/18/14,3.5,4,1489,4820,1.5,Good,Good Quality,1920,2012,DC
2753,890000,4/20/15,5.5,7,3089,1732,4,Good,Good Quality,1895,2017,DC
2754,900000,5/15/15,3,5,2579,2472,3,Average,Above Average,1909,2015,DC
2755,1175000,6/9/14,3.5,5,3463,2472,3,Good,Good Quality,1900,2003,DC
2758,657000,6/3/14,2,4,1316,1500,2,Good,Average,1914,2014,DC
2759,1000000,8/5/14,3.5,6,2780,1808,3,Good,Good Quality,1895,2013,DC
2760,976500,10/6/14,4.5,5,1600,1681,2,Very Good,Above Average,1911,2014,DC
2764,725000,5/13/15,2.5,5,1615,3845,2,Good,Good Quality,1919,2009,DC
2767,675000,11/26/14,2.5,3,1800,1792,2,Good,Good Quality,1916,2014,DC
2768,695000,3/24/15,3.5,4,1528,2250,2,Good,Good Quality,1926,2014,DC
2769,705000,9/22/14,4,6,2320,2343,2,Good,Good Quality,1949,2001,DC
2770,565583,4/7/15,1.5,2,1022,1750,2,Good,Average,1914,2011,DC
2771,529750,11/17/14,1,3,864,800,2,Good,Above Average,1913,2011,DC
2772,479000,12/30/14,2,3,864,960,2,Good,Above Average,1913,2005,DC
2774,200000,11/6/14,1,3,1504,1733,2,Good,Above Average,1926,2016,DC
2775,780000,8/21/14,3.5,4,1680,2000,2,Good,Above Average,1925,2006,DC
2776,822150,4/27/15,2.5,3,1665,2000,2,Good,Above Average,1926,2015,DC
2777,719000,5/2/14,3.5,3,1496,2681,2,Good,Good Quality,1912,2014,DC
2779,572000,5/8/14,2.5,3,1718,3331,2.25,Good,Average,1927,2013,DC
2781,296000,5/21/14,3.5,4,1722,1710,2,Good,Above Average,1926,2015,DC
2782,327000,5/5/15,1.5,3,1428,1920,2,Average,Average,1920,0,DC
2785,691250,3/13/15,3.5,3,1560,1700,2,Very Good,Average,1923,2015,DC
2786,450300,12/1/14,1.5,3,1260,1782,2,Good,Average,1923,0,DC
2788,510000,3/17/15,3.5,4,1368,1968,2,Good,Average,1922,2015,DC
2789,460000,6/13/14,3.5,3,1482,1813,2,Average,Average,1922,2005,DC
2790,629000,4/17/15,3.5,4,1482,1813,2,Very Good,Average,1922,2014,DC
2791,639000,10/3/14,3.5,3,1152,1050,2,Good,Average,1912,2014,DC
2796,197535,8/27/14,3.5,2,1488,1891,2,Good,Average,1934,2010,DC
2798,645000,5/14/14,3.5,3,1660,1800,2,Very Good,Average,1925,2013,DC
2799,508000,12/23/14,2,4,1600,1700,2,Good,Average,1925,0,DC
2803,617000,12/17/14,5,4,1476,1800,2,Average,Above Average,1912,2015,DC
2805,650000,8/19/14,3.5,3,1680,1700,2,Very Good,Average,1925,2014,DC
2806,475000,10/6/14,2,3,1020,5536,1,Good,Above Average,1928,2014,DC
2807,550000,3/18/15,3.5,4,1520,2404,2,Very Good,Average,1918,2014,DC
2808,699000,7/9/14,3.5,4,1608,1600,2,Very Good,Average,1921,2014,DC
2810,436000,6/19/14,2.5,3,1512,1656,2,Average,Above Average,1933,0,DC
2814,469000,8/6/14,2.5,3,1482,2463,2,Very Good,Average,1923,2013,DC
2817,595000,8/29/14,3.5,3,1547,2773,2,Good,Good Quality,1924,2013,DC
2818,650000,12/1/14,3.5,4,1476,1620,2,Very Good,Average,1925,2014,DC
2819,545000,11/25/14,3.5,3,1052,1440,2,Very Good,Average,1925,2014,DC
2820,355000,9/12/14,1,3,1052,1440,2,Average,Average,1925,0,DC
2821,618000,7/9/14,3.5,3,1476,1782,2,Very Good,Average,1926,2014,DC
2822,571000,6/30/14,1,3,1336,2430,2,Good,Average,1922,2010,DC
2823,430000,11/10/14,3,3,1267,5853,1,Good,Above Average,1960,2014,DC
2824,605000,4/1/15,3.5,3,1092,1943,2,Very Good,Average,1925,2014,DC
2825,415000,7/3/14,2,3,1072,2060,2,Average,Above Average,1928,2012,DC
2826,379900,9/11/14,1,3,1072,1802,2,Average,Above Average,1928,1962,DC
2827,420000,11/7/14,3,4,1698,1640,2,Average,Average,1927,0,DC
2829,765000,10/28/14,3.5,4,1654,2603,2,Good,Above Average,1916,2010,DC
2830,140000,9/29/14,3.5,3,1260,1159,2,Good,Above Average,1914,2015,DC
2833,450000,2/26/15,2.5,3,1240,3167,2,Good,Above Average,1978,2014,DC
2834,470000,10/7/14,3,4,2276,5231,3,Average,Above Average,1981,0,DC
2835,694000,7/21/14,2,3,1594,5462,2,Good,Good Quality,1922,2013,DC
2836,99165,5/2/14,1.5,3,1247,1594,2,Average,Average,1923,0,DC
2837,749900,4/14/15,2.5,3,2550,2613,3,Very Good,Good Quality,2015,0,DC
2839,650000,7/1/14,2.5,3,1344,1265,2,Good,Above Average,1911,2011,DC
2840,858000,10/3/14,2.5,4,1344,1424,2,Good,Above Average,1911,2014,DC
2841,236945,4/21/15,2,3,1358,1716,2,Good,Good Quality,1929,2004,DC
2842,540000,6/11/14,3.5,4,1476,1911,2,Good,Good Quality,1929,2012,DC
2843,399000,7/22/14,2,4,1292,2366,2,Average,Average,1923,0,DC
2844,465000,12/22/14,3,7,1500,2800,2,Good,Average,1911,0,DC
2845,705000,3/9/15,3.5,4,1344,1440,2,Very Good,Average,1925,2015,DC
2846,576000,6/5/14,3.5,3,1052,1440,2,Very Good,Average,1925,2014,DC
2848,559000,10/31/14,2,3,1276,5257,2,Good,Above Average,1940,2012,DC
2850,542000,7/7/14,2,3,1536,2400,2,Good,Average,1923,2009,DC
2851,500000,4/9/15,2,4,1832,1440,2,Average,Average,1924,0,DC
2853,535000,2/3/15,3.5,3,1422,2104,2,Very Good,Average,1930,2014,DC
2854,649900,5/1/15,3.5,3,1540,2292,2,Very Good,Average,1930,2014,DC
2857,555000,9/4/14,2.5,2,1046,1031,2,Good,Average,1912,2014,DC
2858,582000,12/8/14,3.5,3,1492,1476,2,Very Good,Average,1929,2014,DC
2859,675000,7/8/14,2.5,3,1930,4677,2,Average,Very Good,1937,1991,DC
2860,450000,3/2/15,3,3,1064,1500,2,Good,Average,1907,2012,DC
2861,768000,11/17/14,4.5,5,2856,4076,2,Good,Average,1923,2014,DC
2863,600000,8/21/14,2.5,3,1176,4812,2.25,Good,Above Average,1941,2006,DC
2867,675000,5/1/15,1,3,1308,961,2,Average,Above Average,1900,0,DC
2868,540000,6/27/14,3,4,1368,1476,2,Good,Average,1910,0,DC
2869,575000,11/20/14,3.5,4,1401,2242,2,Very Good,Average,1910,2014,DC
2870,650000,2/19/15,3.5,4,1440,1620,2,Very Good,Average,1924,2015,DC
2871,485000,9/24/14,2.5,3,1674,3740,2,Average,Above Average,1948,0,DC
2873,420000,2/24/15,1,3,896,1438,2,Good,Average,1927,2001,DC
2874,522500,3/18/15,3.5,4,1080,1438,2,Good,Average,1927,2014,DC
2875,375000,2/11/15,1.5,3,1116,1782,2,Average,Average,1922,2015,DC
2876,649000,12/24/14,3.5,3,1660,1700,2,Very Good,Average,1923,2014,DC
2877,634050,3/9/15,3,4,1634,2250,2,Average,Above Average,1925,0,DC
2878,585000,7/11/14,3,3,1808,2337,2,Good,Average,1930,2006,DC
2881,510000,8/11/14,3.5,4,2113,5643,2,Good,Above Average,1917,2014,DC
2882,613655,10/22/14,4,4,1720,3590,2,Good,Above Average,1940,2013,DC
2883,650000,5/6/15,2.5,3,1640,2000,2,Very Good,Average,1925,2015,DC
2884,580000,9/19/14,2.5,3,1520,2000,2,Good,Average,1925,2014,DC
2886,611730,8/18/14,2.5,5,2426,1933,3,Average,Good Quality,1909,0,DC
2888,1379000,8/15/14,5,6,3332,1768,4,Good,Good Quality,1900,2011,DC
2891,729000,12/12/14,3.5,4,1623,5456,2,Good,Above Average,1950,2014,DC
2892,435000,5/1/14,2,3,1572,1403,2,Average,Average,1911,0,DC
2895,455000,4/1/15,1.5,2,832,750,2,Average,Fair Quality,1912,1999,DC
2896,440000,3/10/15,1.5,2,744,960,2,Average,Fair Quality,1913,0,DC
2897,605000,11/7/14,2,5,1924,3295,2.5,Average,Average,1908,0,DC
2898,458000,6/27/14,2,4,1716,1152,3,Good,Average,1907,2017,DC
2900,113143,5/5/14,1,3,1448,1700,2,Average,Average,1923,0,DC
2901,600000,5/18/15,4,7,2346,2499,2,Good,Average,1910,2015,DC
2902,450000,3/31/15,1,3,1020,2403,2,Average,Average,1913,0,DC
2904,1260000,8/4/14,6,6,2688,1559,3,Good,Good Quality,1905,2006,DC
2905,730000,12/2/14,2.5,3,1722,1762,2,Good,Above Average,1898,2015,DC
2907,780000,10/21/14,3.5,3,1260,1371,2,Good,Above Average,1890,2006,DC
2908,490000,11/10/14,2.5,3,1440,2565,2,Good,Average,1922,2007,DC
2909,510000,10/10/14,1.5,4,1600,1700,2,Good,Average,1922,0,DC
2910,480000,9/5/14,2,3,1080,1714,2,Good,Above Average,1914,2002,DC
2911,515250,6/24/14,2,3,1260,1920,2,Good,Average,1915,2000,DC
2913,665000,1/21/15,2,3,1600,1630,2,Good,Above Average,1921,2008,DC
2914,658000,6/5/14,3.5,3,1372,1968,2,Good,Average,1914,2014,DC
2915,527911,10/16/14,2.5,4,1794,5940,2,Good,Very Good,1937,0,DC
2916,766500,11/28/14,3.5,4,1892,1396,2,Good,Above Average,1907,2014,DC
2917,696000,5/19/14,3.5,4,1472,1200,2,Good,Above Average,1915,2014,DC
2918,875000,8/18/14,3.5,3,1628,1278,2,Good,Good Quality,1907,2014,DC
2919,176700,9/24/14,1.5,3,1584,3095,2.5,Average,Average,1907,0,DC
2920,663975,12/15/14,2.5,3,1724,5179,2,Average,Very Good,1937,2004,DC
2921,595000,5/6/15,3,3,1342,2340,2,Very Good,Average,1923,2014,DC
2922,550000,5/21/14,1.5,4,1620,780,3,Average,Above Average,1907,0,DC
2923,550000,4/30/15,1.5,3,1450,1614,2,Average,Average,1906,2015,DC
2924,750000,1/26/15,1.5,3,1350,1175,2,Good,Above Average,1906,2015,DC
2925,450000,5/7/15,1.5,4,1080,1530,2,Good,Average,1923,1990,DC
2926,649900,4/30/15,3.5,3,1440,1530,2,Good,Average,1923,2011,DC
2928,485000,9/17/14,2,3,1344,2555,2,Average,Average,1909,0,DC
2931,700000,5/12/15,3.5,4,1528,2102,2,Good,Above Average,1917,2007,DC
2932,518000,12/24/14,2.5,3,1538,2097,2,Average,Average,1912,2015,DC
2933,605000,5/2/14,1.5,3,1452,1470,2,Average,Above Average,1917,0,DC
2934,661500,3/3/15,3,5,2024,2399,2,Good,Above Average,1911,2015,DC
2935,705000,5/19/14,3,4,2302,3323,2,Good,Above Average,1920,2014,DC
2936,668000,2/13/15,3.5,4,1840,2763,2,Good,Good Quality,1921,2015,DC
2937,371000,5/27/14,1.5,3,1088,2244,2,Good,Average,1948,2016,DC
2938,396000,8/5/14,1.5,2,1172,990,2,Good,Average,1913,2016,DC
2940,810000,4/30/15,2.5,4,1200,1198,2,Good,Average,1925,2015,DC
2941,706000,3/16/15,3.5,3,1552,1390,2,Very Good,Average,1912,2015,DC
2942,634000,10/7/14,3.5,3,1538,1677,2,Very Good,Average,1912,2014,DC
2943,625000,5/8/15,2,3,1242,1511,2,Good,Above Average,1910,2015,DC
2944,740000,11/28/14,3.5,4,1480,1154,2,Good,Above Average,1906,2006,DC
2945,480000,10/17/14,2,4,2200,2167,2,Good,Good Quality,1922,2015,DC
2947,490000,9/16/14,1,3,1280,1658,2,Good,Average,1923,0,DC
2949,375000,3/20/15,1,3,1140,2578,2,Poor,Good Quality,1923,1991,DC
2950,524000,6/17/14,1.5,3,1710,1653,2,Average,Above Average,1920,0,DC
2951,510000,5/27/15,1.5,2,878,879,2,Good,Above Average,1941,2011,DC
2952,665000,11/4/14,3.5,4,1520,1982,2,Good,Average,1908,2011,DC
2953,525000,2/13/15,3,3,1564,1362,2,Fair,Above Average,1895,0,DC
2954,495000,10/24/14,2,3,1754,2375,2,Good,Above Average,1912,2015,DC
2956,469000,12/22/14,2,3,1280,2100,2,Average,Average,1908,0,DC
2957,645000,2/10/15,2,3,1320,1250,2,Good,Average,1907,2011,DC
2958,625000,10/17/14,3,4,1258,945,2,Good,Above Average,1913,2011,DC
2959,625000,12/10/14,3,3,1088,2288,2,Good,Average,1916,2014,DC
2960,455000,2/18/15,3.5,3,1262,1440,2,Good,Average,1915,2011,DC
2961,360000,2/6/15,2,4,1192,1440,2,Average,Average,1915,0,DC
2962,759000,4/9/15,4,6,2046,1564,3,Good,Above Average,1912,2016,DC
2964,760000,4/6/15,2.5,3,1320,1800,2,Good,Above Average,2001,2007,DC
2965,741000,10/22/14,4.5,6,1782,2408,2,Very Good,Above Average,1932,2008,DC
2967,615000,10/8/14,2.5,3,1488,1720,2,Good,Average,1908,2000,DC
2968,749000,12/8/14,3.5,4,1764,2025,2,Very Good,Above Average,1917,2013,DC
2972,198600,1/23/15,2,5,2315,4600,2.5,Good,Above Average,1907,2004,DC
2973,425000,5/8/15,2,3,1646,2691,2,Average,Above Average,1908,0,DC
2976,799000,7/21/14,3.5,4,1684,1515,2,Good,Above Average,1920,2014,DC
2977,500000,8/29/14,2,4,1414,1500,2,Average,Above Average,1912,2015,DC
2978,860000,3/27/15,3.5,3,1600,1379,2,Good,Above Average,1911,2014,DC
2979,399900,12/5/14,4,4,2760,2500,2,Average,Average,1943,0,DC
2981,505000,6/3/14,1.5,2,878,997,2,Good,Above Average,1914,2014,DC
2982,800000,10/14/14,3.5,6,2072,1700,2,Good,Above Average,1920,2014,DC
2985,900000,8/7/14,2.5,3,1928,1388,2,Very Good,Good Quality,1900,2015,DC
2986,480000,9/4/14,1,3,1328,1600,2,Good,Above Average,1910,2015,DC
2987,595000,5/19/15,1.5,3,1480,1400,2,Good,Average,1912,0,DC
2988,672500,6/3/14,3.5,5,1880,2850,2,Good,Average,1912,2011,DC
2989,775000,2/9/15,3.5,5,1680,1423,2,Average,Good Quality,1920,2008,DC
2990,719500,12/9/14,3.5,3,1866,1367,2,Good,Good Quality,1895,0,DC
2991,675000,4/14/15,2,3,1428,2516,2,Average,Above Average,1923,0,DC
2992,202000,7/9/14,1.5,3,1440,1332,2,Average,Above Average,1923,2009,DC
2993,710000,10/7/14,3.5,4,1380,1332,2.25,Very Good,Above Average,1923,2014,DC
2994,569000,7/1/14,3.5,3,1260,2283,2,Very Good,Average,1927,2014,DC
2995,650000,5/21/14,2.5,4,1464,1133,2,Average,Above Average,1907,2014,DC
2996,715000,5/20/14,2.5,3,1440,2000,2,Very Good,Average,1905,2013,DC
2999,710000,8/15/14,3,4,1634,2500,2,Very Good,Average,1910,2014,DC
3000,680000,6/27/14,3.5,3,1576,1847,2,Very Good,Average,1922,2014,DC
3001,725000,3/18/15,3.5,4,1472,2756,2,Very Good,Average,1923,2015,DC
3002,660000,8/4/14,3.5,3,1660,1847,2,Very Good,Average,1923,2014,DC
3003,905000,2/2/15,3.5,4,1542,1500,2,Good,Good Quality,1895,2008,DC
3004,700000,4/1/15,3.5,4,1848,1499,2,Average,Good Quality,1895,2017,DC
3005,705000,10/24/14,3,3,1328,1850,2,Average,Above Average,1910,2014,DC
3006,840000,6/27/14,4.5,5,1920,2358,2,Very Good,Above Average,1912,2014,DC
3007,565500,11/14/14,2,3,1400,3400,2.5,Good,Above Average,1931,2004,DC
3008,515000,6/3/14,1,3,1890,4730,2,Average,Above Average,1927,2014,DC
3009,499900,3/4/15,3,3,1054,1856,2,Good,Above Average,1925,2015,DC
3010,455000,4/6/15,1.5,3,1008,1355,2,Good,Above Average,1927,2014,DC
3012,480000,3/3/15,3.5,3,1188,1355,2,Good,Above Average,1927,2014,DC
3013,397000,5/9/14,1.5,3,1168,1355,2,Good,Above Average,1927,2013,DC
3014,470000,10/24/14,1,3,1692,2511,2,Average,Average,1912,1960,DC
3017,660000,5/12/14,3.5,4,1340,2380,2,Very Good,Average,1929,2014,DC
3018,375000,4/14/15,2,3,1058,1419,2,Average,Above Average,1927,1976,DC
3019,380000,3/12/15,1,3,1054,1767,2,Average,Above Average,1925,0,DC
3020,370000,8/4/14,1,2,1054,1767,2,Average,Above Average,1925,0,DC
3021,589900,4/23/15,3.5,3,1390,1734,2,Good,Above Average,1925,2015,DC
3022,428325,5/11/15,1,3,1422,1530,2,Average,Average,1927,0,DC
3023,450000,7/3/14,2,4,1120,1560,2,Good,Average,1932,2014,DC
3025,440000,1/21/15,3,5,1550,2701,2,Average,Average,1937,2014,DC
3026,399999,3/27/15,2.5,4,1620,2975,2,Average,Average,1932,0,DC
3027,684999,3/31/15,3.5,4,1766,4330,2,Good,Above Average,1927,2015,DC
3030,410000,8/1/14,1,3,1054,1760,2,Good,Above Average,1927,2018,DC
3031,490000,5/30/14,3,3,2004,3929,2,Good,Average,1952,2006,DC
3032,25000,5/1/14,1,3,1480,1950,2,Average,Average,1926,0,DC
3036,509000,8/4/14,2,3,1594,2885,2,Good,Above Average,1927,2002,DC
3037,603000,2/2/15,3.5,4,1572,2857,2,Good,Above Average,1929,2014,DC
3038,525000,2/27/15,3.5,3,1148,1515,2,Good,Above Average,1935,2014,DC
3039,545000,5/29/14,3,3,1224,1589,2,Very Good,Average,1934,2014,DC
3040,441500,12/29/14,2,3,1269,6815,1,Average,Above Average,1960,2016,DC
3041,480000,9/29/14,2,2,1269,6815,1,Average,Above Average,1960,0,DC
3042,419900,2/3/15,2.5,3,1054,1383,2,Good,Average,1928,2010,DC
3043,420000,11/10/14,2.5,3,1109,1789,2,Good,Above Average,1928,2014,DC
3044,480000,6/10/14,2,4,1104,2397,2,Good,Above Average,1928,2006,DC
3048,785000,4/22/15,3.5,5,1795,11201,2,Good,Above Average,1937,2015,DC
3049,448000,10/1/14,1.5,3,1054,1760,2,Good,Above Average,1927,2013,DC
3050,435000,10/10/14,2,3,1294,1760,2,Good,Above Average,1927,2005,DC
3051,370000,5/12/15,1.5,3,1054,1462,2,Good,Above Average,1900,2015,DC
3052,560000,7/18/14,3,3,952,1399,2,Good,Above Average,1925,2014,DC
3054,173675,12/2/14,1,3,1322,1653,2,Average,Average,1923,0,DC
3056,550000,2/12/15,2,5,2410,4736,2.5,Average,Above Average,1929,0,DC
3058,541000,1/5/15,3.5,3,1426,2018,2,Good,Average,1927,2014,DC
3060,525000,5/13/15,3,3,1054,1425,2,Good,Above Average,1926,2014,DC
3061,427260,1/21/15,3,3,1411,6762,1,Average,Above Average,1961,2015,DC
3063,618000,4/27/15,3.5,4,1504,1300,2,Very Good,Average,1912,2014,DC
3064,332820,10/22/14,2,3,1496,2250,2,Average,Average,1919,0,DC
3065,638000,12/19/14,3.5,4,1568,2250,2,Very Good,Average,1919,2014,DC
3066,399900,12/19/14,2,2,1056,1536,2,Good,Average,1926,2008,DC
3067,628500,12/24/14,3.5,3,1680,3047,2,Good,Above Average,1931,2014,DC
3070,437500,7/14/14,2.5,3,1088,1870,2,Good,Above Average,1948,2014,DC
3071,71812,3/12/15,1.5,3,1292,1755,2,Good,Average,1927,2007,DC
3074,550000,6/19/14,3.5,4,2018,4400,2,Average,Above Average,1927,0,DC
3077,416000,11/3/14,2,2,1056,1536,2,Good,Average,1926,0,DC
3079,550000,1/28/15,3.5,4,1269,1930,2,Good,Above Average,1929,2014,DC
3084,395500,5/27/14,1.5,3,1109,1419,2,Good,Above Average,1925,2014,DC
3085,465000,10/16/14,2.5,3,1100,1419,2,Good,Average,1925,2015,DC
3086,385500,6/18/14,1.5,3,1260,2500,2,Average,Average,1936,0,DC
3088,449000,3/31/15,2.5,4,1866,2788,2,Good,Average,1928,0,DC
3089,639000,10/10/14,3,4,2010,4000,2.5,Good,Above Average,1932,2012,DC
3090,369900,11/18/14,1.5,3,1388,5548,2,Good,Above Average,1968,0,DC
3092,626000,5/15/15,3.5,4,1512,1589,2,Very Good,Average,1927,2015,DC
3093,430000,5/22/15,1,3,1152,1589,2,Average,Average,1927,0,DC
3094,740000,11/3/14,3.5,4,2210,4400,2,Good,Above Average,1927,2014,DC
3095,575000,10/2/14,3.5,3,1088,2584,2,Very Good,Average,1927,2014,DC
3096,632500,10/28/14,3.5,4,1440,2584,2,Very Good,Average,1927,2014,DC
3097,470000,5/23/14,3,4,1440,2031,2,Average,Above Average,1933,0,DC
3098,385000,5/21/14,1.5,3,1304,1620,2,Average,Average,1936,2014,DC
3099,715000,11/12/14,3.5,5,1870,3022,3,Average,Above Average,1917,1991,DC
3101,779900,3/18/15,3.5,3,1748,2635,2,Very Good,Above Average,1915,2014,DC
3102,860000,5/21/15,3.5,4,1640,2636,2,Very Good,Above Average,1915,2015,DC
3104,680000,9/16/14,3.5,4,1660,1800,2,Very Good,Average,1925,2014,DC
3105,450000,2/24/15,2,3,1436,1620,2,Good,Average,1925,2014,DC
3107,510000,7/23/14,1.5,4,1280,2850,2,Average,Average,1925,1987,DC
3108,509000,5/21/15,2.5,4,1280,1600,2,Average,Average,1925,2012,DC
3110,610000,5/22/14,3.5,3,1444,2158,2,Good,Above Average,1917,2005,DC
3111,545000,10/22/14,3.5,3,1420,1125,2,Good,Above Average,1931,2011,DC
3112,605000,1/28/15,3.5,4,1472,1350,2,Very Good,Average,1931,2014,DC
3113,682500,6/17/14,3.5,4,1492,1466,2,Very Good,Above Average,1925,2014,DC
3116,530000,5/14/14,3.5,3,1408,1571,2,Very Good,Average,1928,2014,DC
3117,629000,7/11/14,3.5,4,1424,1571,2,Very Good,Average,1927,2014,DC
3118,570000,6/3/14,3.5,4,1424,1570,2,Very Good,Average,1927,2014,DC
3120,630000,12/30/14,3.5,4,1680,1700,2,Very Good,Average,1931,2014,DC
3122,593000,12/16/14,3.5,4,1478,2833,2,Good,Above Average,1927,2014,DC
3124,400000,3/24/15,1.5,3,1580,2447,2,Average,Average,1923,1992,DC
3125,759000,5/5/14,3.5,4,1788,2447,2,Very Good,Average,1910,2014,DC
3126,535000,7/2/14,3.5,3,1343,2559,2,Good,Average,1927,2010,DC
3127,770000,1/6/15,3.5,4,1580,1620,2,Very Good,Above Average,1914,2010,DC
3132,620000,4/27/15,3.5,3,1136,1588,2,Very Good,Average,1925,2015,DC
3133,515000,12/24/14,2.5,4,1480,2100,2,Average,Average,1923,0,DC
3135,565000,9/12/14,2.5,3,1422,1607,2,Very Good,Average,1928,2014,DC
3136,626500,5/27/14,3,4,1660,2838,2,Good,Average,1929,0,DC
3137,550000,5/4/15,3.5,3,1248,1432,2,Good,Average,1925,2015,DC
3138,628000,10/31/14,3.5,3,1312,1588,2,Very Good,Average,1945,2014,DC
3139,875000,1/2/15,1.5,1,2179,15400,2.5,Average,Good Quality,1917,0,DC
3141,679000,5/6/14,2,3,1323,3648,2,Good,Above Average,1920,2012,DC
3144,570000,11/20/14,3.5,4,1680,1790,2,Good,Average,1925,2008,DC
3145,607500,4/14/15,3.5,4,1280,1366,2,Good,Above Average,1927,2014,DC
3146,446000,1/9/15,1.5,3,1710,2760,2,Average,Above Average,1929,0,DC
3148,507500,7/25/14,2,3,1436,1800,2,Very Good,Average,1927,2010,DC
3150,430000,9/3/14,2,4,1660,3359,2,Average,Average,1931,0,DC
3151,453000,6/24/14,2,3,1180,1576,2.25,Good,Average,1935,2014,DC
3152,825000,12/3/14,3.5,4,1482,2132,2,Very Good,Average,1914,2014,DC
3153,393000,5/29/15,1.5,3,1104,1729,2,Average,Above Average,1927,0,DC
3154,314810,4/3/15,1,3,1088,1696,2,Average,Above Average,1929,0,DC
3155,460000,12/11/14,1.5,3,1641,1932,2,Good,Above Average,1926,2009,DC
3157,477500,11/5/14,2,4,1396,1932,2,Average,Above Average,1926,1991,DC
3158,323000,7/17/14,1.5,3,1196,1170,2,Average,Above Average,1925,2014,DC
3160,554000,3/16/15,3,3,1180,1576,2,Good,Average,1935,2014,DC
3162,639000,4/28/15,3.5,4,1410,2421,2,Good,Average,1930,2010,DC
3164,470000,9/18/14,1,3,1320,5800,2,Average,Above Average,1935,0,DC
3166,430000,3/31/15,1.5,3,1054,1856,2,Average,Above Average,1925,0,DC
3168,560000,12/15/14,3.5,4,1404,2520,2,Very Good,Average,1925,2014,DC
3169,467000,4/15/15,2,3,1134,1965,2,Good,Above Average,1926,0,DC
3170,555000,1/2/15,3.5,4,1410,2380,2,Good,Average,1930,2010,DC
3172,714000,5/13/15,3.5,4,1800,2520,2,Very Good,Above Average,1932,2015,DC
3173,550000,7/1/14,3,5,2178,2500,3,Average,Average,1911,0,DC
3177,350000,6/3/14,2.5,3,1476,3758,2,Average,Average,1950,2017,DC
3178,529500,1/12/15,2.5,3,1336,3218,2,Good,Average,1950,2014,DC
3179,770000,5/21/14,3.5,6,2153,14356,2,Good,Above Average,1925,2011,DC
3181,400000,11/6/14,1,3,1686,4503,2.5,Average,Above Average,1916,0,DC
3182,800000,3/17/15,3.5,4,1680,1988,2,Very Good,Average,1913,2015,DC
3185,724800,8/5/14,3.5,5,1806,2615,2,Very Good,Above Average,1929,2014,DC
3188,660000,12/22/14,3.5,4,1440,1670,2,Very Good,Average,1923,2014,DC
3189,453000,9/23/14,2,4,1240,2790,2,Average,Average,1929,0,DC
3190,399900,7/21/14,2,4,1152,2497,2,Average,Average,1929,0,DC
3191,599900,8/26/14,3.5,3,1512,2497,2,Very Good,Average,1929,2014,DC
3192,625000,10/2/14,3.5,3,1040,1600,2,Very Good,Average,1925,2014,DC
3193,675000,8/27/14,3.5,5,2019,7438,2,Good,Average,1800,2011,DC
3194,505000,7/31/14,2,3,1296,1606,2,Average,Average,1926,0,DC
3195,555000,5/28/14,3.5,3,1720,1710,2,Good,Average,1925,2010,DC
3197,560000,4/2/15,1.5,4,1440,2107,2,Average,Above Average,1916,0,DC
3198,500000,6/3/14,3,3,1520,2000,2,Good,Average,1923,2014,DC
3201,635500,5/15/15,5.5,4,1260,1561,2,Very Good,Average,1936,2014,DC
3202,475000,12/22/14,3,3,1562,2949,2,Good,Above Average,1936,2015,DC
3203,360120,3/24/15,2,2,1368,2466,2,Average,Average,1937,0,DC
3204,690000,10/29/14,3,4,1920,6300,3,Good,Above Average,1919,2014,DC
3206,825000,1/27/15,3.5,4,2120,1600,2,Very Good,Average,1914,2014,DC
3207,784000,7/8/14,3.5,3,1608,1700,2,Very Good,Above Average,1915,2014,DC
3208,781000,3/17/15,3,4,1392,1252,2,Good,Good Quality,1890,2010,DC
3209,693225,3/3/15,3,4,1962,2027,2,Good,Above Average,1914,2016,DC
3210,766350,10/31/14,2,3,2070,2790,2,Average,Above Average,1914,0,DC
3211,500000,5/9/14,2,3,1698,1847,2,Average,Average,1923,0,DC
3212,715000,2/25/15,3.5,4,1640,1847,2,Very Good,Average,1923,2014,DC
3214,659500,7/23/14,2.5,4,1438,1176,2,Average,Above Average,1909,2013,DC
3215,799900,11/21/14,3.5,4,1392,850,2,Very Good,Above Average,1909,2014,DC
3216,615000,6/6/14,3.5,4,1590,1519,2,Good,Above Average,1909,2015,DC
3217,880000,8/4/14,2.5,4,1336,1665,2,Good,Good Quality,1906,2008,DC
3220,800000,4/2/15,2.5,4,1833,1500,2,Average,Good Quality,1895,0,DC
