,price,date,bathrooms,bedrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,yr_renovated,location
115,750000,1/8/15,1,3,1194,1517,2,Poor,Average,1870,0,DC
117,1125000,7/23/14,3,3,1600,1543,2,Very Good,Average,1979,2007,DC
119,795000,1/27/15,2.5,3,1600,1268,3,Good,Above Average,1912,1999,DC
123,980000,4/9/15,2,3,1888,1710,2,Average,Good Quality,1890,0,DC
125,960000,1/13/15,2,5,2640,1710,3,Average,Very Good,1915,0,DC
127,2107000,5/5/15,5.5,6,3522,1381,3,Very Good,Very Good,1892,2009,DC
128,1294000,12/5/14,3.5,5,1932,1006,3,Good,Good Quality,1860,2000,DC
132,830000,6/17/14,1.5,2,1110,1129,2,Good,Above Average,1900,2005,DC
133,735000,4/23/15,1.5,2,1128,863,2,Good,Above Average,1900,2000,DC
134,760000,4/15/15,1,2,1024,921,2,Good,Above Average,1900,2004,DC
136,1236000,7/30/14,3.5,5,2050,833,3,Good,Very Good,1910,2003,DC
138,1450000,5/5/14,3,6,2698,1615,3,Good,Good Quality,1860,1982,DC
139,1990000,7/30/14,3.5,4,2076,2375,2,Very Good,Very Good,1875,2014,DC
140,323210,3/18/15,1.5,3,1400,1019,2,Average,Average,1909,2000,DC
141,1180000,8/4/14,2.5,2,1202,1440,2,Very Good,Good Quality,1915,2013,DC
142,2390000,9/3/14,3,2,3300,2138,3,Very Good,Very Good,1923,2005,DC
145,1950000,5/28/15,2.5,3,2298,1250,3,Very Good,Very Good,1886,2008,DC
147,1291000,10/6/14,2,4,1053,1160,3,Very Good,Very Good,1915,2012,DC
148,1545500,4/30/15,3.5,5,2476,1800,3,Good,Good Quality,1860,2014,DC
149,1250000,11/18/14,1,4,1980,2753,2,Good,Above Average,1880,0,DC
152,1050000,6/18/14,1.5,3,1232,1631,2,Good,Average,1975,2004,DC
153,1400000,11/3/14,4,4,2640,1416,3,Average,Good Quality,1920,1996,DC
154,1350000,5/5/15,2,3,1551,1824,2,Very Good,Above Average,1870,2013,DC
155,1202750,8/19/14,3.5,4,1597,728,3,Very Good,Very Good,1885,2004,DC
156,675000,9/12/14,2,2,702,543,2,Very Good,Average,1953,2005,DC
158,943000,5/30/14,2,3,1388,1574,2,Good,Above Average,1855,2008,DC
159,1375000,2/20/15,3.5,5,2440,1598,3,Good,Good Quality,1905,2016,DC
160,670000,11/7/14,2.5,3,1938,1547,2,Good,Above Average,1881,2000,DC
161,1300000,8/4/14,5,6,3768,2440,3,Good,Above Average,1890,2008,DC
162,732000,3/25/15,1,3,1470,1552,2,Average,Above Average,1900,0,DC
163,904900,5/14/15,2.5,3,1468,1552,2,Good,Good Quality,1900,2005,DC
164,625000,11/4/14,4,2,1290,745,2,Average,Above Average,1900,1964,DC
165,975000,3/20/15,3,6,1734,1233,2,Average,Good Quality,1900,0,DC
167,878000,11/21/14,3.5,5,1852,1777,2,Good,Above Average,1900,1994,DC
168,825000,5/14/14,2.5,3,1802,1289,2,Good,Above Average,1910,2002,DC
169,675000,11/13/14,1.5,3,1382,1058,2,Good,Above Average,1910,2012,DC
170,860000,7/25/14,2.5,3,1802,1259,2,Good,Above Average,1910,2014,DC
171,781000,5/5/15,1.5,4,1802,1268,2,Average,Average,1900,0,DC
173,425000,10/29/14,1.5,3,1057,1800,2,Average,Above Average,1994,0,DC
175,1910000,5/12/14,4.5,6,3358,1478,3,Very Good,Very Good,1914,2008,DC
178,550000,6/27/14,2,3,1668,1650,2,Average,Above Average,1890,0,DC
179,399000,12/30/14,1.5,3,1057,1800,2,Average,Above Average,1994,0,DC
181,825000,10/23/14,3,3,1390,912,2,Good,Average,1900,2002,DC
183,1850000,7/3/14,11.5,11,2832,2134,2,Good,Good Quality,1900,2012,DC
185,1205000,7/3/14,3.5,4,1704,1600,2,Good,Good Quality,1900,2010,DC
186,1605000,4/29/15,4.5,5,3041,1600,3,Good,Good Quality,1900,2011,DC
188,960000,11/17/14,2.5,4,1280,1850,2,Good,Above Average,1977,0,DC
189,685000,4/20/15,1,3,1380,912,2,Average,Above Average,1900,0,DC
190,833500,1/16/15,2.5,2,1572,1440,2,Good,Above Average,1884,2003,DC
191,670000,7/10/14,2.5,3,1580,1502,2,Good,Above Average,1900,1989,DC
192,650000,11/5/14,2.5,3,1640,1240,2,Average,Above Average,1967,0,DC
193,1270000,8/7/14,3.5,5,3176,1850,3,Good,Good Quality,1900,1988,DC
194,1150000,2/24/15,4.5,4,2387,1078,3,Good,Above Average,1870,2000,DC
195,1175000,12/30/14,4,5,2238,1097,3,Average,Good Quality,1912,0,DC
196,675000,7/7/14,2.5,3,1622,1607,2,Good,Above Average,1900,2013,DC
197,580000,11/28/14,2,3,1279,1615,2,Average,Average,1900,0,DC
198,960000,5/21/15,2.5,3,2150,1808,2,Good,Above Average,1915,2000,DC
199,680000,9/5/14,2.5,3,2258,1808,2,Good,Above Average,1900,2000,DC
200,472000,1/14/15,1,2,1084,1247,2,Good,Average,1908,2015,DC
201,997000,7/7/14,3.5,4,1772,1659,2,Good,Above Average,1914,1987,DC
206,1775000,11/17/14,2.5,4,2325,2436,2,Very Good,Good Quality,1890,2013,DC
207,775000,6/27/14,1.5,2,1344,1009,2,Good,Above Average,1890,2010,DC
